=== TOTAL: 255 cols x 138 rows ===
=== USED COLUMNS: 131 ===
=== USED COL INDICES: 0,2,3,6,7,9,11,12,15,17,18,20,21,22,23,24,27,28,30,35,37,38,42,44,46,47,50,52,53,55,56,57,58,59,62,63,65,70,72,73,76,78,79,80,82,85,87,88,90,91,92,94,95,96,97,105,107,111,112,113,115,117,120,122,123,125,127,129,130,131,132,140,142,143,146,147,148,150,152,155,156,157,158,159,160,162,164,165,166,167,175,177,180,182,185,187,188,189,190,192,193,195,196,199,200,201,202,205,206,208,211,213,216,218,219,220,223,226,227,230,231,233,237,239,242,244,247,249,250,251,254 ===

R0: 견적번호 : |  | 2-32 |  |  |  |  |  |  |  |  | 상호 |  |  | ㈜ 네 오 판 넬 |  |  |  |  | 견적번호 : |  | 2-32 | 0 |  |  |  |  |  |  | 상호 |  |  | ㈜ 네 오 판 넬 |  |  |  |  |  | ㈜ 네 오 판 넬 |  |  |  |  |  | 물량산출내역 |  |  |  |  |  |  |  | 수주처 |  |  | 상호 | ㈜ 네 오 판 넬 |  |  |  |  | 출  고  증 |  |  |  |  |  |  | 견적번호 |  | 2-32 | 상호 | ㈜ 네 오 판 넬 |  |  |  |  |  | 시험성적서 요청 |  |  |  |  |  |  |  |  | 수주처 |  | 0 | 자  재  발  주  서 |  |  |  |  |  |  |  |  | 발주처 |  |  | ㈜ 네 오 판 넬 |  |  |  |  |  | 자  재  발  주  서 |  |  |  |  |  |  |  | 발주처 |  | ㈜ 네 오 판 넬 |  |  |  | 자  재  발  주  서 |  |  |  |  |  |  |  | 발주처
R1: 고객명 : |  | 유창건설 |  |  |  |  |  |  |  |  | 담당자 |  |  | 정학록 (010-4775-6318) |  |  |  |  | 고객명 : |  | 유창건설 |  |  |  |  |  |  |  | 담당자 |  |  | 정학록 (010-4775-6318) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 견적번호 |  | 2-32 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R2: 생산일 : |  |  |  | 견  적  서 |  |  |  |  |  |  | 사무실 |  |  | (041) 548 - 0484 |  | 팩스 |  | (041) 548 - 0485 | 생산일 : |  | 1월 0일 토요일 | 견   적   서 |  |  |  |  |  |  | 사무실 |  |  | (041) 548 - 0484 |  | 팩스 |  | (041) 548 - 0485 | 사무실 | (041) 548 - 0484 |  | 팩스 | (041) 548 - 0485 |  |  |  |  |  |  |  |  |  |  | 수주번호 |  |  | 사무실 | (041) 548 - 0484 | 팩스 |  | (041) 548 - 0485 |  |  |  |  |  |  |  |  | 수주번호 |  | 토요일, 1월 00, 1900 | 사무실 | (041) 548 - 0484 |  | 팩스 |  | (041) 548 - 0485 |  |  |  |  |  |  |  |  |  |  | 수주번호 |  | 토요일, 1월 00, 1900 |  |  |  |  |  |  |  |  |  | 수주처 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 수주처 |  |  |  |  |  |  |  |  |  |  |  |  |  | 수주처
R16: 9 | 양면 0.5T |  |  |  |  |  | 8,600 |  | 2 |  | 17.2 |  |  |  |  |  |  |  | 9 | 양면 0.5T |  |  |  |  | 8,600 |  | 2 |  | 17.2 |  |  |  |  |  |  |  | 9 | 양면 0.5T |  |  |  |  |  | 8,600 |  | 2 |  | 17.2 |  |  |  |  |  |  | 9 | 양면 0.5T |  |  |  |  | 8,600 |  | 2 |  | 17.2 |  |  |  |  |  | 9 | 양면 0.5T |  |  |  |  |  | 8,600 |  |  | 2 |  |  | 17.2 |  |  |  |  |  | 9 |  |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  | 9 |  |  |  |  |  |  |  |  | . |  |  |  |  | 9 |  |  |  |  |  |  |  | 
R17: 10 | 준불연 인정제품 |  |  |  |  |  | 합계 |  | 32 |  | 914.7 |  |  |  | 33,200 |  | 30,368,040 |  | 10 | 준불연 인정제품 |  |  |  |  | 합계 |  | 32 |  | 914.7 |  |  |  | 35,200 |  | 32,197,440 |  | 10 | 준불연 인정제품 |  |  |  |  |  | 합계 |  | 32 |  | 914.7 |  |  |  |  |  |  | 10 | 준불연 인정제품 |  |  |  |  | 합계 |  | 32 |  | 914.7 |  |  |  |  |  | 10 | 준불연 인정제품 |  |  |  |  |  | 합계 |  |  | 32 |  |  | 914.7 |  |  |  |  |  | 10 |  |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  | 10 |  |  |  |  |  |  |  |  | . |  |  |  |  | 10 |  |  |  |  |  |  |  | 
R18: 11 |  |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  |  | 11 | 0 |  |  |  |  | - |  | - |  | . |  |  |  |  |  |  |  | 11 | 0 |  |  |  |  |  | - |  | - |  | . |  |  |  |  |  |  | 11 | 0 |  |  |  |  | - |  | 0 |  | . |  |  |  |  |  | 11 | 0 |  |  |  |  |  | - |  |  | - |  |  | . |  |  |  |  |  | 11 |  |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  | 11 |  |  |  |  |  |  |  |  | . |  |  |  |  | 11 |  |  |  |  |  |  |  | 
R19: 12 |  |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  |  | 12 | 0 |  |  |  |  | - |  | - |  | . |  |  |  |  |  |  |  | 12 | 0 |  |  |  |  |  | - |  | - |  | . |  |  |  |  |  |  | 12 | 0 |  |  |  |  | - |  | 0 |  | . |  |  |  |  |  | 12 | 0 |  |  |  |  |  | - |  |  | - |  |  | . |  |  |  |  |  | 12 |  |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  | 12 |  |  |  |  |  |  |  |  | . |  |  |  |  | 12 |  |  |  |  |  |  |  | 
R20: 13 | 50T 500골 |  |  |  |  |  | 5,000 |  | 6 |  | 30. |  |  |  |  |  |  |  | 13 | 50T 500골 |  |  |  |  | 5,000 |  | 6 |  | 30. |  |  |  |  |  |  |  | 13 | 50T 500골 |  |  |  |  |  | 5,000 |  | 6 |  | 30. |  |  |  |  |  |  | 13 | 50T 500골 |  |  |  |  | 5,000 |  | 6 |  | 30. |  |  |  |  |  | 13 | 50T 500골 |  |  |  |  |  | 5,000 |  |  | 6 |  |  | 30. |  |  |  |  |  | 13 |  |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  | 13 |  |  |  |  |  |  |  |  | . |  |  |  |  | 13 |  |  |  |  |  |  |  | 
R21: 14 | 진회색 + 아이보리 |  |  |  |  |  | 1,980 |  | 24 |  | 47.52 |  |  |  |  |  |  |  | 14 | 진회색 + 아이보리 |  |  |  |  | 1,980 |  | 24 |  | 47.52 |  |  |  |  |  |  |  | 14 | 진회색 + 아이보리 |  |  |  |  |  | 1,980 |  | 24 |  | 47.52 |  |  |  |  |  |  | 14 | 진회색 + 아이보리 |  |  |  |  | 1,980 |  | 24 |  | 47.52 |  |  |  |  |  | 14 | 진회색 + 아이보리 |  |  |  |  |  | 1,980 |  |  | 24 |  |  | 47.52 |  |  |  |  |  | 14 |  |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  | 14 |  |  |  |  |  |  |  |  | . |  |  |  |  | 14 |  |  |  |  |  |  |  | 
R22: 15 | 양면 0.5T |  |  |  |  |  | 합계 |  | 30 |  | 77.52 |  |  |  | 23,600 |  | 1,829,472 |  | 15 | 양면 0.5T |  |  |  |  | 합계 |  | 30 |  | 77.52 |  |  |  | 25,200 |  | 1,953,504 |  | 15 | 양면 0.5T |  |  |  |  |  | 합계 |  | 30 |  | 77.52 |  |  |  |  |  |  | 15 | 양면 0.5T |  |  |  |  | 합계 |  | 30 |  | 77.52 |  |  |  |  |  | 15 | 양면 0.5T |  |  |  |  |  | 합계 |  |  | 30 |  |  | 77.52 |  |  |  |  |  | 15 |  |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  | 15 |  |  |  |  |  |  |  |  | . |  |  |  |  | 15 |  |  |  |  |  |  |  | 
R23: 16 | 준불연 / 성적서없음 |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  |  | 16 | 준불연 / 성적서없음 |  |  |  |  | - |  | - |  | . |  |  |  |  |  |  |  | 16 | 준불연 / 성적서없음 |  |  |  |  |  | - |  | - |  | . |  |  |  |  |  |  | 16 | 준불연 / 성적서없음 |  |  |  |  | - |  | 0 |  | . |  |  |  |  |  | 16 | 준불연 / 성적서없음 |  |  |  |  |  | - |  |  | - |  |  | . |  |  |  |  |  | 16 |  |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  | 16 |  |  |  |  |  |  |  |  | . |  |  |  |  | 16 |  |  |  |  |  |  |  | 
R24: 17 |  |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  |  | 17 | 0 |  |  |  |  | - |  | - |  | . |  |  |  |  |  |  |  | 17 | 0 |  |  |  |  |  | - |  | - |  | . |  |  |  |  |  |  | 17 | 0 |  |  |  |  | - |  | 0 |  | . |  |  |  |  |  | 17 | 0 |  |  |  |  |  | - |  |  | - |  |  | . |  |  |  |  |  | 17 |  |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  | 17 |  |  |  |  |  |  |  |  | . |  |  |  |  | 17 |  |  |  |  |  |  |  | 
R25: 18 | 225T 의자베이스 |  |  |  |  |  | 아연1T |  | EA |  | 42. |  |  |  | 15,913 |  | 668,325 |  | 18 | 225T 의자베이스 |  |  |  |  | 아연1T |  | EA |  | 42. |  |  |  | 19,095 |  | 801,990 |  | 18 | 225T 의자베이스 |  |  |  |  |  | 아연1T |  | EA |  | 42. |  |  |  |  |  |  | 18 | 225T 의자베이스 |  |  |  |  | 아연1T |  | EA |  | 42. |  |  |  |  |  | 18 | 225T 의자베이스 |  |  |  |  |  | 아연1T |  |  | EA |  |  | 42. |  |  |  |  |  | 18 |  |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  | 18 |  |  |  |  |  |  |  |  | . |  |  |  |  | 18 |  |  |  |  |  |  |  | 
R26: 19 | 두모자쪼인트 |  |  |  |  |  | 진회색 0.5T |  | EA |  | 53. |  |  |  | 6,167 |  | 326,833 |  | 19 | 두모자쪼인트 |  |  |  |  | 진회색 0.5T |  | EA |  | 53. |  |  |  | 7,400 |  | 392,200 |  | 19 | 두모자쪼인트 |  |  |  |  |  | 진회색 0.5T |  | EA |  | 53. |  |  |  |  |  |  | 19 | 두모자쪼인트 |  |  |  |  | 진회색 0.5T |  | EA |  | 53. |  |  |  |  |  | 19 | 두모자쪼인트 |  |  |  |  |  | 진회색 0.5T |  |  | EA |  |  | 53. |  |  |  |  |  | 19 |  |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  | 19 |  |  |  |  |  |  |  |  | . |  |  |  |  | 19 |  |  |  |  |  |  |  | 
R27: 20 | 225T 외부코너카바 |  |  |  |  |  | 진회색 0.5T |  | EA |  | 10. |  |  |  | 18,192 |  | 181,917 |  | 20 | 225T 외부코너카바 |  |  |  |  | 진회색 0.5T |  | EA |  | 10. |  |  |  | 21,830 |  | 218,300 |  | 20 | 225T 외부코너카바 |  |  |  |  |  | 진회색 0.5T |  | EA |  | 10. |  |  |  |  |  |  | 20 | 225T 외부코너카바 |  |  |  |  | 진회색 0.5T |  | EA |  | 10. |  |  |  |  |  | 20 | 225T 외부코너카바 |  |  |  |  |  | 진회색 0.5T |  |  | EA |  |  | 10. |  |  |  |  |  | 20 |  |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  | 20 |  |  |  |  |  |  |  |  | . |  |  |  |  | 20 |  |  |  |  |  |  |  | 
R28: 21 | 상부용마루 진회색 0.5T |  |  |  |  |  | 300-300 |  | EA |  | 14. |  |  |  | 22,508 |  | 315,117 |  | 21 | 상부용마루 진회색 0.5T |  |  |  |  | 300-300 |  | EA |  | 14. |  |  |  | 27,010 |  | 378,140 |  | 21 | 상부용마루 진회색 0.5T |  |  |  |  |  | 300-300 |  | EA |  | 14. |  |  |  |  |  |  | 21 | 상부용마루 진회색 0.5T |  |  |  |  | 300-300 |  | EA |  | 14. |  |  |  |  |  | 21 | 상부용마루 진회색 0.5T |  |  |  |  |  | 300-300 |  |  | EA |  |  | 14. |  |  |  |  |  | 21 |  |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  | 21 |  |  |  |  |  |  |  |  | . |  |  |  |  | 21 |  |  |  |  |  |  |  | 
R29: 22 | 하부용마루 아이보리 0.5T |  |  |  |  |  | 200-200 |  | EA |  | 14. |  |  |  | 12,250 |  | 171,500 |  | 22 | 하부용마루 아이보리 0.5T |  |  |  |  | 200-200 |  | EA |  | 14. |  |  |  | 14,700 |  | 205,800 |  | 22 | 하부용마루 아이보리 0.5T |  |  |  |  |  | 200-200 |  | EA |  | 14. |  |  |  |  |  |  | 22 | 하부용마루 아이보리 0.5T |  |  |  |  | 200-200 |  | EA |  | 14. |  |  |  |  |  | 22 | 하부용마루 아이보리 0.5T |  |  |  |  |  | 200-200 |  |  | EA |  |  | 14. |  |  |  |  |  | 22 |  |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  | 22 |  |  |  |  |  |  |  |  | . |  |  |  |  | 22 |  |  |  |  |  |  |  | 
R30: 23 | 크로샤 4골 |  |  |  |  |  | 진회색 |  | EA |  | 84. |  |  |  | 500 |  | 42,000 |  | 23 | 크로샤 4골 |  |  |  |  | 진회색 |  | EA |  | 84. |  |  |  | 600 |  | 50,400 |  | 23 | 크로샤 4골 |  |  |  |  |  | 진회색 |  | EA |  | 84. |  |  |  |  |  |  | 23 | 크로샤 4골 |  |  |  |  | 진회색 |  | EA |  | 84. |  |  |  |  |  | 23 | 크로샤 4골 |  |  |  |  |  | 진회색 |  |  | EA |  |  | 84. |  |  |  |  |  | 23 |  |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  | 23 |  |  |  |  |  |  |  |  | . |  |  |  |  | 23 |  |  |  |  |  |  |  | 
R31: 24 | 260T용 미돌출박공 |  |  |  |  |  | 진회색 0.5T |  | EA |  | 14. |  |  |  | 26,979 |  | 377,708 |  | 24 | 260T용 미돌출박공 |  |  |  |  | 진회색 0.5T |  | EA |  | 14. |  |  |  | 32,375 |  | 453,250 |  | 24 | 260T용 미돌출박공 |  |  |  |  |  | 진회색 0.5T |  | EA |  | 14. |  |  |  |  |  |  | 24 | 260T용 미돌출박공 |  |  |  |  | 진회색 0.5T |  | EA |  | 14. |  |  |  |  |  | 24 | 260T용 미돌출박공 |  |  |  |  |  | 진회색 0.5T |  |  | EA |  |  | 14. |  |  |  |  |  | 24 |  |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  | 24 |  |  |  |  |  |  |  |  | . |  |  |  |  | 24 |  |  |  |  |  |  |  | 
